PROGRAM_ID,LOCATION_NAME,SHELTER_ID,LOCATION_ADDRESS,LOCATION_CITY,LOCATION_PROVINCE,SECTOR,CAPACITY_TYPE,full_address,location,latitude,longitude,type
12711,TSSS Fort York Residence,62,38 Bathurst St,Toronto,ON,['Men'],Bed Based Capacity,"38 Bathurst St, Toronto, ON","38, Bathurst Street, Wellington Place, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5V 2P1, Canada",43.641817,-79.401972,Men only
13191,Fred Victor Mary Sheffield House,58,512 Jarvis St,Toronto,ON,['Women'],Bed Based Capacity,"512 Jarvis St, Toronto, ON","The Edward Gallow House, 512, Jarvis Street, North St.James Town, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M4Y 1B1, Canada",43.6676332,-79.3792531,Women only
13331,Fred Victor Centre Transition to Housing Dundas St E,58,386 Dundas St E,Toronto,ON,['Women'],Bed Based Capacity,"386 Dundas St E, Toronto, ON","386, Dundas Street East, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2A6, Canada",43.6591046,-79.3681658,Women only
13591,HFS Kennedy Rd Women's Shelter,68,702 Kennedy Rd,Toronto,ON,['Women'],Bed Based Capacity,"702 Kennedy Rd, Toronto, ON","702, Kennedy Road, Kennedy Park, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1K 3M6, Canada",43.7278398,-79.2662915,Women only
13611,CONC Men's Shelter Bloor St W,22,850 Bloor St W,Toronto,ON,['Men'],Bed Based Capacity,"850 Bloor St W, Toronto, ON","850, Bloor Street West, Dovercourt Village, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M6G 1M3, Canada",43.6624426,-79.4241437,Men only
14091,SA New Hope Leslieville,73,29A Leslie St,Toronto,ON,['Men'],Bed Based Capacity,"29A Leslie St, Toronto, ON","Leslie Street, St.Andrew-Windfields, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M3B 2M3, Canada",43.7617202,-79.3618157,Men only
14571,SA Islington Seniors' Shelter,77,2671 Islington Ave,Toronto,ON,['Men'],Bed Based Capacity,"2671 Islington Ave, Toronto, ON","Consolata Missionaries, 2671, Islington Avenue, Thistletown-Beaumond Heights, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9V 1L2, Canada",43.739153,-79.5656502,Men only
14572,SA Islington Seniors' Shelter,77,2671 Islington Ave,Toronto,ON,['Women'],Bed Based Capacity,"2671 Islington Ave, Toronto, ON","Consolata Missionaries, 2671, Islington Avenue, Thistletown-Beaumond Heights, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9V 1L2, Canada",43.739153,-79.5656502,Women only
14651,YWCA Davenport Shelter,78,348 Davenport Road,Toronto,ON,['Women'],Bed Based Capacity,"348 Davenport Road, Toronto, ON","348, Davenport Road, Annex, University—Rosedale, Toronto, Golden Horseshoe, Ontario, M2R 1K5, Canada",43.6754101,-79.4013325,Women only
14832,HFS 545 Lake Shore Blvd W Shelter,24,545 Lake Shore Blvd W,Toronto,ON,['Women'],Bed Based Capacity,"545 Lake Shore Blvd W, Toronto, ON","545, Lake Shore Boulevard West, Harbourfront-CityPlace, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5V 2V6, Canada",43.636441,-79.3987561,Women only
14951,HFS 545 Lake Shore Blvd W Shelter,24,545 Lake Shore Blvd W,Toronto,ON,['Men'],Bed Based Capacity,"545 Lake Shore Blvd W, Toronto, ON","545, Lake Shore Boulevard West, Harbourfront-CityPlace, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5V 2V6, Canada",43.636441,-79.3987561,Men only
15051,TSSS Seaton House,3,339 George St,Toronto,ON,['Men'],Bed Based Capacity,"339 George St, Toronto, ON","339, George Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.6597005,-79.3743234,Men only
15131,HFS 545 Lake Shore Blvd W Shelter,24,545 Lake Shore Blvd W,Toronto,ON,['Men'],Bed Based Capacity,"545 Lake Shore Blvd W, Toronto, ON","545, Lake Shore Boulevard West, Harbourfront-CityPlace, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, M5V 2V6, Canada",43.636441,-79.3987561,Men only
15171,TSSS Junction Place,3,731 Runnymede Rd,Toronto,ON,['Men'],Bed Based Capacity,"731 Runnymede Rd, Toronto, ON","731, Runnymede Road, Junction Area, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M6N, Canada",43.6680901,-79.4829598,Men only
15191,TSSS Seaton House,3,339 George St,Toronto,ON,['Men'],Bed Based Capacity,"339 George St, Toronto, ON","339, George Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5A 2L3, Canada",43.6597005,-79.3743234,Men only
15531,Good Shepherd Centre West End Hotel Program,16,335 Jarvis St,Toronto,ON,['Men'],Room Based Capacity,"335 Jarvis St, Toronto, ON","335, Jarvis Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5B 2L1, Canada",43.660337,-79.375719,Men only
15711,CONC West End Hotel Program,22,14 Roncesvalles Ave,Toronto,ON,['Men'],Room Based Capacity,"14 Roncesvalles Ave, Toronto, ON","14, Roncesvalles Avenue, Roncesvalles, Sunnyside, Parkdale—High Park, Toronto, Golden Horseshoe, Ontario, M6R 1B4, Canada",43.6390188,-79.4465143,Men only
15751,TSSS Downtown Response Program,3,76 Church St,Toronto,ON,['Men'],Bed Based Capacity,"76 Church St, Toronto, ON","76, Church Street, Downtown Yonge East, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5C 2G1, Canada",43.6508035,-79.3749075,Men only
15972,Street Haven Downtown Hotel Program,36,26 Gerrard St E,Toronto,ON,['Women'],Room Based Capacity,"26 Gerrard St E, Toronto, ON","Ronald McDonald House, 26, Gerrard Street East, Downtown Yonge East, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5B 2K3, Canada",43.6595672,-79.3810055,Women only
16351,St. Simon's Clubbe House,30,556 Sherbourne St,Toronto,ON,['Men'],Room Based Capacity,"556 Sherbourne St, Toronto, ON","Gabby's, 556, Sherbourne Street, North St.James Town, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M4Y 1V5, Canada",43.6697144,-79.3759409,Men only
16371,Sistering,65,962 Bloor St W,Toronto,ON,['Women'],Bed Based Capacity,"962 Bloor St W, Toronto, ON","Sistering, 962, Bloor Street West, Dovercourt, Davenport, Toronto, Golden Horseshoe, Ontario, M6H 1L7, Canada",43.6614308,-79.4288255,Women only
